algo,model_id,model_path,train_rmse,test_rmse,val_rmse,train_mae,test_mae,val_mae,train_bias,test_bias,val_bias,train_rpd,test_rpd,val_rpd,train_r2,test_r2,val_r2,param_C,param_epsilon,param_gamma,param_kernel
svr,0,/home/aline/Documentos/coffee-nir-moisture/output/models/svr/baseline_correction/svr_model_000.joblib,7.940312213808452,9.14707197823986,7.636605131429316,5.95401597891808,7.21820696103113,5.98424699210455,3.5123760888821867,4.5010043818973395,1.3740251589634151,2.2301243366662002,1.8021586475446898,2.1410385612524867,0.7989325149066928,0.6920969720891057,0.7818521075804532,1.0,0.01,scale,rbf
svr,1,/home/aline/Documentos/coffee-nir-moisture/output/models/svr/baseline_correction/svr_model_001.joblib,7.940312213808452,9.14707197823986,7.636605131429316,5.95401597891808,7.21820696103113,5.98424699210455,3.5123760888821867,4.5010043818973395,1.3740251589634151,2.2301243366662002,1.8021586475446898,2.1410385612524867,0.7989325149066928,0.6920969720891057,0.7818521075804532,1.0,0.01,auto,rbf
svr,2,/home/aline/Documentos/coffee-nir-moisture/output/models/svr/baseline_correction/svr_model_002.joblib,7.922139248969519,9.115497718228493,7.627095503657649,5.952431689638693,7.220794075373074,5.99037379139159,3.47930658950659,4.471979560433778,1.3506574431436822,2.2352401229308705,1.8084009644733114,2.143708054476025,0.7998518265908745,0.6942189694236305,0.7823950749230987,1.0,0.1,scale,rbf
svr,3,/home/aline/Documentos/coffee-nir-moisture/output/models/svr/baseline_correction/svr_model_003.joblib,7.922139248969519,9.115497718228493,7.627095503657649,5.952431689638693,7.220794075373074,5.99037379139159,3.47930658950659,4.471979560433778,1.3506574431436822,2.2352401229308705,1.8084009644733114,2.143708054476025,0.7998518265908745,0.6942189694236305,0.7823950749230987,1.0,0.1,auto,rbf
svr,4,/home/aline/Documentos/coffee-nir-moisture/output/models/svr/baseline_correction/svr_model_004.joblib,0.6432111499072969,2.587594565361568,1.630743044589978,0.38504284963165597,1.796253804012039,1.3582887416798262,0.06442427677006327,1.1901809008381574,-0.5184735682295357,27.530436173711013,6.370578716606355,10.02626754576149,0.9986806080932265,0.9753599135444794,0.9900523288189294,10.0,0.01,scale,rbf
svr,5,/home/aline/Documentos/coffee-nir-moisture/output/models/svr/baseline_correction/svr_model_005.joblib,0.6432111499072969,2.587594565361568,1.630743044589978,0.38504284963165597,1.796253804012039,1.3582887416798262,0.06442427677006327,1.1901809008381574,-0.5184735682295357,27.530436173711013,6.370578716606355,10.02626754576149,0.9986806080932265,0.9753599135444794,0.9900523288189294,10.0,0.01,auto,rbf
svr,6,/home/aline/Documentos/coffee-nir-moisture/output/models/svr/baseline_correction/svr_model_006.joblib,0.6473147049933432,2.5816401186731666,1.688861761858918,0.41876399611982823,1.7712531575118609,1.4052502918048704,0.066678073788639,1.1875267847220083,-0.5620745483383642,27.355911077169498,6.385272194240175,9.681234090735856,0.998663719492635,0.9754731842035731,0.9893306353804485,10.0,0.1,scale,rbf
svr,7,/home/aline/Documentos/coffee-nir-moisture/output/models/svr/baseline_correction/svr_model_007.joblib,0.6473147049933432,2.5816401186731666,1.688861761858918,0.41876399611982823,1.7712531575118609,1.4052502918048704,0.066678073788639,1.1875267847220083,-0.5620745483383642,27.355911077169498,6.385272194240175,9.681234090735856,0.998663719492635,0.9754731842035731,0.9893306353804485,10.0,0.1,auto,rbf
svr,8,/home/aline/Documentos/coffee-nir-moisture/output/models/svr/baseline_correction/svr_model_008.joblib,0.2777156652979641,1.9718671431920287,1.2234081554644458,0.05660499800285129,1.4210271531135523,1.0021478570050515,-0.031347583239020406,0.96184229531164,-0.3703415202075467,63.762638271568605,8.359830388275478,13.364522698675065,0.999754038324194,0.985691138907613,0.9944012239763926,100.0,0.01,scale,rbf
svr,9,/home/aline/Documentos/coffee-nir-moisture/output/models/svr/baseline_correction/svr_model_009.joblib,0.2777156652979641,1.9718671431920287,1.2234081554644458,0.05660499800285129,1.4210271531135523,1.0021478570050515,-0.031347583239020406,0.96184229531164,-0.3703415202075467,63.762638271568605,8.359830388275478,13.364522698675065,0.999754038324194,0.985691138907613,0.9944012239763926,100.0,0.01,auto,rbf
svr,10,/home/aline/Documentos/coffee-nir-moisture/output/models/svr/baseline_correction/svr_model_010.joblib,0.29359781067257884,1.84722378431778,1.3073143905828442,0.13025227944237158,1.3625997442628865,1.0467631734184504,-0.033572291851157995,0.8548527449576024,-0.44360343885079906,60.313404477290156,8.923918696394846,12.50675903304276,0.9997251015361945,0.9874429162664475,0.9936069156401656,100.0,0.1,scale,rbf
svr,11,/home/aline/Documentos/coffee-nir-moisture/output/models/svr/baseline_correction/svr_model_011.joblib,0.29359781067257884,1.84722378431778,1.3073143905828442,0.13025227944237158,1.3625997442628865,1.0467631734184504,-0.033572291851157995,0.8548527449576024,-0.44360343885079906,60.313404477290156,8.923918696394846,12.50675903304276,0.9997251015361945,0.9874429162664475,0.9936069156401656,100.0,0.1,auto,rbf
