algo,model_id,model_path,train_rmse,test_rmse,val_rmse,train_mae,test_mae,val_mae,train_bias,test_bias,val_bias,train_rpd,test_rpd,val_rpd,train_r2,test_r2,val_r2,param_bootstrap,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators
random_forest,0,/home/aline/Documentos/coffee-nir-moisture/output/models/random_forest/msc/random_forest_model_000.joblib,0.5916995559214605,1.3649923323488682,1.3380517310828877,0.3550220243133401,0.936154315834098,0.7712957397302193,0.020219089641904386,0.061932989525656366,0.32164831406366623,29.70896920958281,12.452972946140125,12.738793342152592,0.9988670132454591,0.9935515711727262,0.9938376917953984,True,,1,2,100
random_forest,1,/home/aline/Documentos/coffee-nir-moisture/output/models/random_forest/msc/random_forest_model_001.joblib,0.6225219969592207,1.3567373914790484,1.3050715924928036,0.3849182733360887,0.9916204612556295,0.8526971013636714,0.021932596299455924,0.10591442910834457,0.43869710411019164,28.238012430179264,12.528741887107977,13.060712210290815,0.9987459012069789,0.9936293304920325,0.9941377237494091,True,,1,2,300
random_forest,2,/home/aline/Documentos/coffee-nir-moisture/output/models/random_forest/msc/random_forest_model_002.joblib,0.5843629347913503,1.2013597095360926,1.0301848442489587,0.41058861146237735,0.9212070660461131,0.64444119110633,0.012476045013177305,-0.02472652369257235,0.23053682568212835,30.08196249556979,14.149144882670535,16.545734077267433,0.9988949353942558,0.9950049526122324,0.9963471829619951,True,,1,5,100
random_forest,3,/home/aline/Documentos/coffee-nir-moisture/output/models/random_forest/msc/random_forest_model_003.joblib,0.6100557667350619,1.2949641033712824,1.2013199628782685,0.42014405930733933,0.9548951384105645,0.7647795115958613,0.01763042569092841,0.06566808714462878,0.3616136095094351,28.815044208620186,13.126396741173268,14.188696608799841,0.9987956258664562,0.9941962466555961,0.9950327617047141,True,,1,5,300
random_forest,4,/home/aline/Documentos/coffee-nir-moisture/output/models/random_forest/msc/random_forest_model_004.joblib,0.6203295498431299,1.429691930354227,1.2389635771319132,0.4159386400956874,1.0059748112388138,0.6945617870942739,0.017444675647828648,0.02496359452078118,0.2682807602463781,28.33781478351281,11.889423326476782,13.757599333817728,0.9987547192198769,0.9929257823255714,0.9947165854781322,True,,2,2,100
random_forest,5,/home/aline/Documentos/coffee-nir-moisture/output/models/random_forest/msc/random_forest_model_005.joblib,0.6151716731139881,1.4059212876161504,1.3200444098763167,0.4089474418842456,0.9657549175927392,0.8162455472232654,0.0173231423460809,0.07413282385422626,0.40591163627409443,28.575411802060067,12.090443992957077,12.912568968017908,0.9987753414906126,0.993159064419122,0.9940024387530817,True,,2,2,300
random_forest,6,/home/aline/Documentos/coffee-nir-moisture/output/models/random_forest/msc/random_forest_model_006.joblib,0.6071434404406412,1.3688349435154232,1.2037569536611963,0.4378510395701733,1.0483634692054502,0.7622023644208669,0.03383750532696313,-0.01940751553740608,0.2258604453935342,28.953263293821465,12.418014799340662,14.159971771321448,0.9988070974675879,0.9935152139249531,0.9950125882413587,True,,2,5,100
random_forest,7,/home/aline/Documentos/coffee-nir-moisture/output/models/random_forest/msc/random_forest_model_007.joblib,0.6217436483256961,1.3185078321203918,1.2220167084492255,0.4362188948929377,0.9634411548265034,0.7837951555595942,0.023931694812815475,0.04837417523075566,0.3363839358568931,28.273363042039428,12.89200729213194,13.94838905681187,0.9987490352836993,0.993983292277261,0.9948601328368866,True,,2,5,300
random_forest,8,/home/aline/Documentos/coffee-nir-moisture/output/models/random_forest/msc/random_forest_model_008.joblib,0.5916995559214605,1.3649923323488682,1.3380517310828877,0.3550220243133401,0.936154315834098,0.7712957397302193,0.020219089641904386,0.061932989525656366,0.32164831406366623,29.70896920958281,12.452972946140125,12.738793342152592,0.9988670132454591,0.9935515711727262,0.9938376917953984,True,10.0,1,2,100
random_forest,9,/home/aline/Documentos/coffee-nir-moisture/output/models/random_forest/msc/random_forest_model_009.joblib,0.6224655051011283,1.3567373914790484,1.3145033112260929,0.38488555594303464,0.9916204612556295,0.8565271176677359,0.02196531369251001,0.10591442910834457,0.4425271204142562,28.240575171050757,12.528741887107977,12.967000035531058,0.9987461288074713,0.9936293304920325,0.9940526845291883,True,10.0,1,2,300
random_forest,10,/home/aline/Documentos/coffee-nir-moisture/output/models/random_forest/msc/random_forest_model_010.joblib,0.5843629347913503,1.2013597095360926,1.0301848442489587,0.41058861146237735,0.9212070660461131,0.64444119110633,0.012476045013177305,-0.02472652369257235,0.23053682568212835,30.08196249556979,14.149144882670535,16.545734077267433,0.9988949353942558,0.9950049526122324,0.9963471829619951,True,10.0,1,5,100
random_forest,11,/home/aline/Documentos/coffee-nir-moisture/output/models/random_forest/msc/random_forest_model_011.joblib,0.6100557667350619,1.2949641033712824,1.2013199628782685,0.42014405930733933,0.9548951384105645,0.7647795115958613,0.01763042569092841,0.06566808714462878,0.3616136095094351,28.815044208620186,13.126396741173268,14.188696608799841,0.9987956258664562,0.9941962466555961,0.9950327617047141,True,10.0,1,5,300
random_forest,12,/home/aline/Documentos/coffee-nir-moisture/output/models/random_forest/msc/random_forest_model_012.joblib,0.6203295498431299,1.429691930354227,1.2389635771319132,0.4159386400956874,1.0059748112388138,0.6945617870942739,0.017444675647828648,0.02496359452078118,0.2682807602463781,28.33781478351281,11.889423326476782,13.757599333817728,0.9987547192198769,0.9929257823255714,0.9947165854781322,True,10.0,2,2,100
random_forest,13,/home/aline/Documentos/coffee-nir-moisture/output/models/random_forest/msc/random_forest_model_013.joblib,0.6151716731139881,1.4059212876161504,1.3200444098763167,0.4089474418842456,0.9657549175927392,0.8162455472232654,0.0173231423460809,0.07413282385422626,0.40591163627409443,28.575411802060067,12.090443992957077,12.912568968017908,0.9987753414906126,0.993159064419122,0.9940024387530817,True,10.0,2,2,300
random_forest,14,/home/aline/Documentos/coffee-nir-moisture/output/models/random_forest/msc/random_forest_model_014.joblib,0.6071434404406412,1.3688349435154232,1.2037569536611963,0.4378510395701733,1.0483634692054502,0.7622023644208669,0.03383750532696313,-0.01940751553740608,0.2258604453935342,28.953263293821465,12.418014799340662,14.159971771321448,0.9988070974675879,0.9935152139249531,0.9950125882413587,True,10.0,2,5,100
random_forest,15,/home/aline/Documentos/coffee-nir-moisture/output/models/random_forest/msc/random_forest_model_015.joblib,0.6217436483256961,1.3185078321203918,1.2220167084492255,0.4362188948929377,0.9634411548265034,0.7837951555595942,0.023931694812815475,0.04837417523075566,0.3363839358568931,28.273363042039428,12.89200729213194,13.94838905681187,0.9987490352836993,0.993983292277261,0.9948601328368866,True,10.0,2,5,300
random_forest,16,/home/aline/Documentos/coffee-nir-moisture/output/models/random_forest/msc/random_forest_model_016.joblib,0.5916995559214605,1.3649923323488682,1.3380517310828877,0.3550220243133401,0.936154315834098,0.7712957397302193,0.020219089641904386,0.061932989525656366,0.32164831406366623,29.70896920958281,12.452972946140125,12.738793342152592,0.9988670132454591,0.9935515711727262,0.9938376917953984,True,20.0,1,2,100
random_forest,17,/home/aline/Documentos/coffee-nir-moisture/output/models/random_forest/msc/random_forest_model_017.joblib,0.6225219969592207,1.3567373914790484,1.3050715924928036,0.3849182733360887,0.9916204612556295,0.8526971013636714,0.021932596299455924,0.10591442910834457,0.43869710411019164,28.238012430179264,12.528741887107977,13.060712210290815,0.9987459012069789,0.9936293304920325,0.9941377237494091,True,20.0,1,2,300
