algo,model_id,model_path,cv_mean_neg_mse,cv_std_neg_mse,train_rmse,test_rmse,train_mae,test_mae,train_bias,test_bias,train_rpd,test_rpd,train_r2,test_r2,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,rank_by_test_rmse
random_forest,35,/home/aline/Documentos/coffee-nir-moisture/output/models/random_forest/savitzkygolay_2a_derivada/random_forest_model_035.joblib,-5.475969704037977,2.424520323624336,0.8048756048820959,2.537931608897019,0.5733474739391494,1.7767164443930508,0.03547120387726405,-0.7523469396383619,22.1822830039616,6.285909615285239,0.9979677014071149,0.9746916555907214,True,20.0,sqrt,1,5,300,44
random_forest,3,/home/aline/Documentos/coffee-nir-moisture/output/models/random_forest/savitzkygolay_2a_derivada/random_forest_model_003.joblib,-5.475969704037977,2.424520323624336,0.8048756048820959,2.537931608897019,0.5733474739391494,1.7767164443930508,0.03547120387726405,-0.7523469396383619,22.1822830039616,6.285909615285239,0.9979677014071149,0.9746916555907214,True,,sqrt,1,5,300,45
random_forest,33,/home/aline/Documentos/coffee-nir-moisture/output/models/random_forest/savitzkygolay_2a_derivada/random_forest_model_033.joblib,-5.43412285859347,2.2496563292372405,0.7510018149016342,2.540620302186196,0.531379443905474,1.7076797778464972,0.04090560101813842,-0.7890604334871627,23.773549006426745,6.2792573489137355,0.9982306572918468,0.9746380036957574,True,20.0,sqrt,1,2,300,46
random_forest,1,/home/aline/Documentos/coffee-nir-moisture/output/models/random_forest/savitzkygolay_2a_derivada/random_forest_model_001.joblib,-5.43412285859347,2.2496563292372405,0.7510018149016342,2.540620302186196,0.531379443905474,1.7076797778464972,0.04090560101813842,-0.7890604334871627,23.773549006426745,6.2792573489137355,0.9982306572918468,0.9746380036957574,True,,sqrt,1,2,300,47
random_forest,17,/home/aline/Documentos/coffee-nir-moisture/output/models/random_forest/savitzkygolay_2a_derivada/random_forest_model_017.joblib,-5.43412285859347,2.2496563292372405,0.7510097272845877,2.540773835245642,0.5313907433405021,1.7083114991676192,0.04127019025817844,-0.7891080525347808,23.77329853640343,6.278877907981822,0.9982306200088721,0.9746349382848891,True,10.0,sqrt,1,2,300,48
random_forest,93,/home/aline/Documentos/coffee-nir-moisture/output/models/random_forest/savitzkygolay_2a_derivada/random_forest_model_093.joblib,-5.534669681181763,2.211277341229212,0.3671279920837192,2.544442661497995,0.2166886794116293,1.599580190021663,-5.307995098072274e-14,-0.8438322584962047,48.6314823044276,6.269824407797794,0.9995771707862526,0.9745616321201237,False,20.0,log2,2,2,300,49
random_forest,61,/home/aline/Documentos/coffee-nir-moisture/output/models/random_forest/savitzkygolay_2a_derivada/random_forest_model_061.joblib,-5.534669681181763,2.211277341229212,0.3671279920837192,2.544442661497995,0.2166886794116293,1.599580190021663,-5.307995098072274e-14,-0.8438322584962047,48.6314823044276,6.269824407797794,0.9995771707862526,0.9745616321201237,False,,log2,2,2,300,50
random_forest,77,/home/aline/Documentos/coffee-nir-moisture/output/models/random_forest/savitzkygolay_2a_derivada/random_forest_model_077.joblib,-5.534669681181763,2.211277341229212,0.3671279920837192,2.544442661497995,0.2166886794116293,1.599580190021663,-5.307995098072274e-14,-0.8438322584962047,48.6314823044276,6.269824407797794,0.9995771707862526,0.9745616321201237,False,10.0,log2,2,2,300,51
random_forest,58,/home/aline/Documentos/coffee-nir-moisture/output/models/random_forest/savitzkygolay_2a_derivada/random_forest_model_058.joblib,-5.1323370534043224,2.2041066828247056,0.16696319346873065,2.559954142386146,0.1049391399563921,1.6075975962214364,-8.038767391862151e-15,-0.5377960034536136,106.93361859913857,6.231833781378616,0.9999125476522454,0.974250530984367,False,,log2,1,5,100,52
random_forest,90,/home/aline/Documentos/coffee-nir-moisture/output/models/random_forest/savitzkygolay_2a_derivada/random_forest_model_090.joblib,-5.1323370534043224,2.2041066828247056,0.16696319346873065,2.559954142386146,0.1049391399563921,1.6075975962214364,-8.038767391862151e-15,-0.5377960034536136,106.93361859913857,6.231833781378616,0.9999125476522454,0.974250530984367,False,20.0,log2,1,5,100,53
random_forest,7,/home/aline/Documentos/coffee-nir-moisture/output/models/random_forest/savitzkygolay_2a_derivada/random_forest_model_007.joblib,-5.469344213874775,2.462719240885843,0.8025788616185109,2.562080585762576,0.5783732544702663,1.76216709391344,0.03447820883899263,-0.8139663198375046,22.245762135417348,6.22666156246362,0.9979792833419877,0.9742077352731885,True,,sqrt,2,5,300,54
random_forest,23,/home/aline/Documentos/coffee-nir-moisture/output/models/random_forest/savitzkygolay_2a_derivada/random_forest_model_023.joblib,-5.469344213874775,2.462719240885843,0.8025788616185109,2.562080585762576,0.5783732544702663,1.76216709391344,0.03447820883899263,-0.8139663198375046,22.245762135417348,6.22666156246362,0.9979792833419877,0.9742077352731885,True,10.0,sqrt,2,5,300,55
random_forest,39,/home/aline/Documentos/coffee-nir-moisture/output/models/random_forest/savitzkygolay_2a_derivada/random_forest_model_039.joblib,-5.469344213874775,2.462719240885843,0.8025788616185109,2.562080585762576,0.5783732544702663,1.76216709391344,0.03447820883899263,-0.8139663198375046,22.245762135417348,6.22666156246362,0.9979792833419877,0.9742077352731885,True,20.0,sqrt,2,5,300,56
random_forest,74,/home/aline/Documentos/coffee-nir-moisture/output/models/random_forest/savitzkygolay_2a_derivada/random_forest_model_074.joblib,-5.1323370534043224,2.2041066828247056,0.16750620762020066,2.5650656175194833,0.10532574568182895,1.6066641439840954,-8.339844822268972e-15,-0.5390230906824858,106.5869659646351,6.219415438864863,0.9999119778849358,0.9741476001002799,False,10.0,log2,1,5,100,57
random_forest,21,/home/aline/Documentos/coffee-nir-moisture/output/models/random_forest/savitzkygolay_2a_derivada/random_forest_model_021.joblib,-5.432349589472027,2.4045909385085205,0.7958414927189476,2.571339957105123,0.5790909550984891,1.764155375059469,0.04595850406963687,-0.7585387394014438,22.43408846337267,6.204239411914486,0.9980130673612635,0.9740209716664635,True,10.0,sqrt,2,2,300,58
random_forest,37,/home/aline/Documentos/coffee-nir-moisture/output/models/random_forest/savitzkygolay_2a_derivada/random_forest_model_037.joblib,-5.432349589472027,2.4045909385085205,0.7958414927189476,2.571339957105123,0.5790909550984891,1.764155375059469,0.04595850406963687,-0.7585387394014438,22.43408846337267,6.204239411914486,0.9980130673612635,0.9740209716664635,True,20.0,sqrt,2,2,300,59
