algo,model_id,model_path,train_rmse,test_rmse,val_rmse,train_mae,test_mae,val_mae,train_bias,test_bias,val_bias,train_rpd,test_rpd,val_rpd,train_r2,test_r2,val_r2,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate_init,param_max_iter,param_tol
mlp,0,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/mean_centering/mlp_model_000.joblib,12.211284882580326,19.561091245089766,17.557959691223537,9.348098017170368,15.99054018815103,15.290565363356453,-4.031183861866529,-5.576272176970019,-8.091065867923238,1.433699362950485,0.8424590994569323,0.9811724742573685,0.5134989124304339,-0.4089719558655591,-0.03874581704368163,relu,0.0001,"(50,)",0.001,5000,0.0001
mlp,1,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/mean_centering/mlp_model_001.joblib,12.211284882580326,19.561091245089766,17.557959691223537,9.348098017170368,15.99054018815103,15.290565363356453,-4.031183861866529,-5.576272176970019,-8.091065867923238,1.433699362950485,0.8424590994569323,0.9811724742573685,0.5134989124304339,-0.4089719558655591,-0.03874581704368163,relu,0.0001,"(50,)",0.001,5000,0.001
mlp,2,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/mean_centering/mlp_model_002.joblib,12.211284882580326,19.561091245089766,17.557959691223537,9.348098017170368,15.99054018815103,15.290565363356453,-4.031183861866529,-5.576272176970019,-8.091065867923238,1.433699362950485,0.8424590994569323,0.9811724742573685,0.5134989124304339,-0.4089719558655591,-0.03874581704368163,relu,0.0001,"(50,)",0.001,10000,0.0001
mlp,3,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/mean_centering/mlp_model_003.joblib,12.211284882580326,19.561091245089766,17.557959691223537,9.348098017170368,15.99054018815103,15.290565363356453,-4.031183861866529,-5.576272176970019,-8.091065867923238,1.433699362950485,0.8424590994569323,0.9811724742573685,0.5134989124304339,-0.4089719558655591,-0.03874581704368163,relu,0.0001,"(50,)",0.001,10000,0.001
mlp,4,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/mean_centering/mlp_model_004.joblib,15.89155912385582,24.271006509670382,18.64022987461993,13.79940574317307,20.847212861923275,15.503993013822837,7.0063826740653665,7.001641354480523,6.555667218199763,1.101673613049142,0.6789755220150122,0.9242046299335246,0.17606281181628947,-1.1691608859126692,-0.17074879729274417,relu,0.0001,"(50,)",0.01,5000,0.0001
mlp,5,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/mean_centering/mlp_model_005.joblib,15.89155912385582,24.271006509670382,18.64022987461993,13.79940574317307,20.847212861923275,15.503993013822837,7.0063826740653665,7.001641354480523,6.555667218199763,1.101673613049142,0.6789755220150122,0.9242046299335246,0.17606281181628947,-1.1691608859126692,-0.17074879729274417,relu,0.0001,"(50,)",0.01,5000,0.001
mlp,6,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/mean_centering/mlp_model_006.joblib,15.89155912385582,24.271006509670382,18.64022987461993,13.79940574317307,20.847212861923275,15.503993013822837,7.0063826740653665,7.001641354480523,6.555667218199763,1.101673613049142,0.6789755220150122,0.9242046299335246,0.17606281181628947,-1.1691608859126692,-0.17074879729274417,relu,0.0001,"(50,)",0.01,10000,0.0001
mlp,7,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/mean_centering/mlp_model_007.joblib,15.89155912385582,24.271006509670382,18.64022987461993,13.79940574317307,20.847212861923275,15.503993013822837,7.0063826740653665,7.001641354480523,6.555667218199763,1.101673613049142,0.6789755220150122,0.9242046299335246,0.17606281181628947,-1.1691608859126692,-0.17074879729274417,relu,0.0001,"(50,)",0.01,10000,0.001
mlp,8,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/mean_centering/mlp_model_008.joblib,8.855931519177402,16.56766593909447,12.194345854861192,6.262776508894355,13.498832213684722,10.586299400852823,-2.370180525182743,-2.002719363540734,-4.802207364112495,1.9769022963931522,0.9946735632716356,1.4127356201137564,0.7441239792265877,-0.01073859475564154,0.49895329648549736,relu,0.0001,"(100,)",0.001,5000,0.0001
mlp,9,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/mean_centering/mlp_model_009.joblib,8.855931519177402,16.56766593909447,12.194345854861192,6.262776508894355,13.498832213684722,10.586299400852823,-2.370180525182743,-2.002719363540734,-4.802207364112495,1.9769022963931522,0.9946735632716356,1.4127356201137564,0.7441239792265877,-0.01073859475564154,0.49895329648549736,relu,0.0001,"(100,)",0.001,5000,0.001
mlp,10,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/mean_centering/mlp_model_010.joblib,8.855931519177402,16.56766593909447,12.194345854861192,6.262776508894355,13.498832213684722,10.586299400852823,-2.370180525182743,-2.002719363540734,-4.802207364112495,1.9769022963931522,0.9946735632716356,1.4127356201137564,0.7441239792265877,-0.01073859475564154,0.49895329648549736,relu,0.0001,"(100,)",0.001,10000,0.0001
mlp,11,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/mean_centering/mlp_model_011.joblib,8.855931519177402,16.56766593909447,12.194345854861192,6.262776508894355,13.498832213684722,10.586299400852823,-2.370180525182743,-2.002719363540734,-4.802207364112495,1.9769022963931522,0.9946735632716356,1.4127356201137564,0.7441239792265877,-0.01073859475564154,0.49895329648549736,relu,0.0001,"(100,)",0.001,10000,0.001
