algo,model_id,model_path,train_rmse,test_rmse,val_rmse,train_mae,test_mae,val_mae,train_bias,test_bias,val_bias,train_rpd,test_rpd,val_rpd,train_r2,test_r2,val_r2,param_n_components,param_scale
pls,0,/home/aline/Documentos/coffee-nir-moisture/output/models/pls/savitzkygolay_2a_derivada/pls_model_000.joblib,5.458180149068109,8.863694796933753,10.286995934269173,4.126735507881719,7.730776594520309,8.678213806256375,3.793575623125959e-15,-4.65916965857542,-5.4524479454282995,3.2481006342281646,1.772699177554534,1.6004817797072597,0.9052146872506481,0.681778210539244,0.6096101377880301,2,False
pls,1,/home/aline/Documentos/coffee-nir-moisture/output/models/pls/savitzkygolay_2a_derivada/pls_model_001.joblib,2.56587842227558,5.109245512557084,5.0347064362024705,2.085330372783178,4.323849838975149,4.081195175665782,3.1914207623123146e-15,-2.684719827204809,-3.26406715080712,6.9094148226231145,3.0753394876017546,3.2701309936034506,0.9790532106474834,0.8942661927036547,0.9064874929717788,2,True
pls,2,/home/aline/Documentos/coffee-nir-moisture/output/models/pls/savitzkygolay_2a_derivada/pls_model_002.joblib,1.7229262201248627,3.574503251020418,4.623875498783824,1.3383759840076448,2.9394503154596925,3.6411371765696896,3.643036907922547e-15,-2.482857870730061,-1.4016918496186872,10.28988832884259,4.395761696994779,3.5606818490357033,0.9905555063966561,0.9482474541063548,0.9211260376871738,4,False
pls,3,/home/aline/Documentos/coffee-nir-moisture/output/models/pls/savitzkygolay_2a_derivada/pls_model_003.joblib,0.9348032662972745,3.4286402502039404,3.2056928903045163,0.7474670135646619,2.7887327601681804,2.6924717207051216,2.980666561027539e-15,-1.848809097628162,-1.8370415829958568,18.965186625997344,4.582768482544722,5.135909809238309,0.9972197377780387,0.9523849587663114,0.9620890015132684,4,True
pls,4,/home/aline/Documentos/coffee-nir-moisture/output/models/pls/savitzkygolay_2a_derivada/pls_model_004.joblib,0.3760744504941835,2.6081348298706057,2.888360019394355,0.31300966993615104,2.17853780440404,2.16784201537993,1.1742019785866063e-15,-1.8268142546657635,-0.5129521146921933,47.14151248675135,6.024483204113493,5.700172225819949,0.9995500202444958,0.9724475385044624,0.9692231587372584,8,False
pls,5,/home/aline/Documentos/coffee-nir-moisture/output/models/pls/savitzkygolay_2a_derivada/pls_model_005.joblib,0.09352438596745134,3.3034222381213127,3.0737202965202557,0.07339266069549537,2.81156494557498,2.738069481956338,-5.72047117772962e-16,-1.6852591100208176,-1.7867315979186655,189.56252126680317,4.756480808083077,5.3564241285583005,0.9999721711636272,0.9557993656215641,0.9651462040263173,8,True
pls,6,/home/aline/Documentos/coffee-nir-moisture/output/models/pls/savitzkygolay_2a_derivada/pls_model_006.joblib,0.08714798358422679,2.5811415775731534,2.8445776926593247,0.06537136650864202,2.2472465764505047,2.062362487167738,-2.9204510749461746e-15,-1.740624111548319,-0.2783308547317839,203.43234203216247,6.087486487816861,5.787906445026133,0.9999758364910157,0.9730149032472681,0.9701491298871004,12,False
pls,7,/home/aline/Documentos/coffee-nir-moisture/output/models/pls/savitzkygolay_2a_derivada/pls_model_007.joblib,0.007989147555851941,3.3248736288538363,3.0458981743194253,0.006104096703301558,2.8252985765417558,2.7179389967729937,4.064545310492099e-15,-1.7027500745841062,-1.7565844911237438,2219.1001330215336,4.725792986615073,5.405351268644829,0.9999997969297979,0.9552234515822254,0.9657743144423675,12,True
