algo,model_id,model_path,cv_mean_neg_mse,cv_std_neg_mse,train_rmse,test_rmse,train_mae,test_mae,train_bias,test_bias,train_rpd,test_rpd,train_r2,test_r2,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate_init,param_max_iter,param_tol,rank_by_test_rmse
mlp,78,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/bruto/mlp_model_078.joblib,-1006.8190129549239,441.96759321915334,4.633824783459084,4.925222393588504,4.064370588545213,4.11419841606129,-3.125316776455303,-3.4288230328665756,3.783820264411094,3.521900938960689,0.9301544080368017,0.9193794554378063,tanh,0.001,"(50,)",0.01,10000,0.0001,1
mlp,76,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/bruto/mlp_model_076.joblib,-1006.8190129549239,441.96759321915334,4.633824783459084,4.925222393588504,4.064370588545213,4.11419841606129,-3.125316776455303,-3.4288230328665756,3.783820264411094,3.521900938960689,0.9301544080368017,0.9193794554378063,tanh,0.001,"(50,)",0.01,5000,0.0001,2
mlp,60,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/bruto/mlp_model_060.joblib,-488.2097102413501,480.1070626972837,4.041803276575757,5.363534978062298,3.418675375625556,3.9189960802007255,-2.8568144681826717,-3.6624836448869735,4.3380538135041,3.2340882353742497,0.9468613973663786,0.9043915514519987,tanh,0.0001,"(100,)",0.01,5000,0.0001,3
mlp,62,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/bruto/mlp_model_062.joblib,-488.2097102413501,480.1070626972837,4.041803276575757,5.363534978062298,3.418675375625556,3.9189960802007255,-2.8568144681826717,-3.6624836448869735,4.3380538135041,3.2340882353742497,0.9468613973663786,0.9043915514519987,tanh,0.0001,"(100,)",0.01,10000,0.0001,4
mlp,86,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/bruto/mlp_model_086.joblib,-485.7779716036557,352.7895286158532,6.7445496506817335,7.5132897988945855,5.735510878707574,6.000535794375765,-5.31905740695075,-5.798737549185285,2.5996635840037965,2.308728378229423,0.8520327171937693,0.8123907196265254,tanh,0.001,"(100,)",0.01,10000,0.0001,5
mlp,84,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/bruto/mlp_model_084.joblib,-485.7779716036557,352.7895286158532,6.7445496506817335,7.5132897988945855,5.735510878707574,6.000535794375765,-5.31905740695075,-5.798737549185285,2.5996635840037965,2.308728378229423,0.8520327171937693,0.8123907196265254,tanh,0.001,"(100,)",0.01,5000,0.0001,6
mlp,21,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/bruto/mlp_model_021.joblib,-52.46759393864344,28.009742803359842,7.235962488064181,10.174876797265549,5.21710557595184,6.9656260746678695,-0.10663470131126533,1.303076562332462,2.4231137386774293,1.7048015143761994,0.8296851956332022,0.6559256049142778,relu,0.0001,"(50, 50)",0.01,5000,0.001,7
mlp,23,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/bruto/mlp_model_023.joblib,-52.46759393864344,28.009742803359842,7.235962488064181,10.174876797265549,5.21710557595184,6.9656260746678695,-0.10663470131126533,1.303076562332462,2.4231137386774293,1.7048015143761994,0.8296851956332022,0.6559256049142778,relu,0.0001,"(50, 50)",0.01,10000,0.001,8
mlp,20,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/bruto/mlp_model_020.joblib,-52.46759393864344,28.009742803359842,7.235962488064181,10.174876797265549,5.21710557595184,6.9656260746678695,-0.10663470131126533,1.303076562332462,2.4231137386774293,1.7048015143761994,0.8296851956332022,0.6559256049142778,relu,0.0001,"(50, 50)",0.01,5000,0.0001,9
mlp,22,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/bruto/mlp_model_022.joblib,-52.46759393864344,28.009742803359842,7.235962488064181,10.174876797265549,5.21710557595184,6.9656260746678695,-0.10663470131126533,1.303076562332462,2.4231137386774293,1.7048015143761994,0.8296851956332022,0.6559256049142778,relu,0.0001,"(50, 50)",0.01,10000,0.0001,10
mlp,44,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/bruto/mlp_model_044.joblib,-36.86546891224603,29.665539899558663,7.269217747293207,11.056502548722262,5.427697980410815,8.793327220521654,1.1787172564746309,2.8009115147591848,2.4120284639859206,1.5688636886873562,0.8281161222564266,0.5937161331654264,relu,0.001,"(50, 50)",0.01,5000,0.0001,11
mlp,46,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/bruto/mlp_model_046.joblib,-36.86546891224603,29.665539899558663,7.269217747293207,11.056502548722262,5.427697980410815,8.793327220521654,1.1787172564746309,2.8009115147591848,2.4120284639859206,1.5688636886873562,0.8281161222564266,0.5937161331654264,relu,0.001,"(50, 50)",0.01,10000,0.0001,12
mlp,45,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/bruto/mlp_model_045.joblib,-39.1668898781743,28.454978153323374,7.269217747293207,11.056502548722262,5.427697980410815,8.793327220521654,1.1787172564746309,2.8009115147591848,2.4120284639859206,1.5688636886873562,0.8281161222564266,0.5937161331654264,relu,0.001,"(50, 50)",0.01,5000,0.001,13
mlp,47,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/bruto/mlp_model_047.joblib,-39.1668898781743,28.454978153323374,7.269217747293207,11.056502548722262,5.427697980410815,8.793327220521654,1.1787172564746309,2.8009115147591848,2.4120284639859206,1.5688636886873562,0.8281161222564266,0.5937161331654264,relu,0.001,"(50, 50)",0.01,10000,0.001,14
