algo,model_id,model_path,train_rmse,test_rmse,val_rmse,train_mae,test_mae,val_mae,train_bias,test_bias,val_bias,train_rpd,test_rpd,val_rpd,train_r2,test_r2,val_r2,param_C,param_epsilon,param_gamma,param_kernel
svr,0,/home/aline/Documentos/coffee-nir-moisture/output/models/svr/mean_centering/svr_model_000.joblib,12.89425693763829,11.59094896497225,12.447374049042466,9.570763328921826,7.910906231566234,9.22092048457625,6.147276548006477,4.550914585970272,3.1557396329585043,1.3577603922145,1.4217489322516967,1.3840177603142074,0.457557474956952,0.5052860253392928,0.47794450235344643,1.0,0.01,scale,rbf
svr,1,/home/aline/Documentos/coffee-nir-moisture/output/models/svr/mean_centering/svr_model_001.joblib,12.89425693763829,11.59094896497225,12.447374049042466,9.570763328921826,7.910906231566234,9.22092048457625,6.147276548006477,4.550914585970273,3.1557396329585035,1.3577603922145,1.4217489322516967,1.3840177603142074,0.457557474956952,0.5052860253392928,0.47794450235344643,1.0,0.01,auto,rbf
svr,2,/home/aline/Documentos/coffee-nir-moisture/output/models/svr/mean_centering/svr_model_002.joblib,12.930271925356797,11.62607796217097,12.464075313075247,9.600772513342852,7.9637809818522145,9.245710755976859,6.179631603122779,4.577769766554861,3.159959602241679,1.3539785905530526,1.4174530196988253,1.3821632427940174,0.4545230474459837,0.5022827956491162,0.4765426265808126,1.0,0.1,scale,rbf
svr,3,/home/aline/Documentos/coffee-nir-moisture/output/models/svr/mean_centering/svr_model_003.joblib,12.930271925356797,11.626077962170971,12.464075313075247,9.60077251334285,7.9637809818522145,9.245710755976859,6.179631603122779,4.577769766554861,3.1599596022416803,1.3539785905530526,1.417453019698825,1.3821632427940174,0.4545230474459837,0.502282795649116,0.4765426265808126,1.0,0.1,auto,rbf
svr,4,/home/aline/Documentos/coffee-nir-moisture/output/models/svr/mean_centering/svr_model_004.joblib,5.138767838572423,5.767541750504534,5.563409585107681,3.3348703951343075,3.7939144273804786,3.9479063613439727,0.8123468654946268,1.5276407213016383,0.9144412011652145,3.4069084081887473,2.8572691846212677,3.0965519416840674,0.9138452783153739,0.8775108318628784,0.8957098573627802,10.0,0.01,scale,rbf
svr,5,/home/aline/Documentos/coffee-nir-moisture/output/models/svr/mean_centering/svr_model_005.joblib,5.138767838572422,5.767541750504532,5.563409585107686,3.3348703951343093,3.7939144273804786,3.9479063613439758,0.8123468654946271,1.5276407213016336,0.9144412011652141,3.4069084081887477,2.8572691846212686,3.096551941684065,0.9138452783153739,0.8775108318628785,0.89570985736278,10.0,0.01,auto,rbf
svr,6,/home/aline/Documentos/coffee-nir-moisture/output/models/svr/mean_centering/svr_model_006.joblib,5.1130790252031675,5.712741517158503,5.564980078411212,3.334976582989586,3.751068498882613,3.9405026890751,0.7032077114491675,1.4509824513208327,0.8607224984647625,3.424025185346446,2.8846779195656675,3.0956780636072496,0.9147045039844278,0.8798274326686626,0.8956509689829768,10.0,0.1,scale,rbf
svr,7,/home/aline/Documentos/coffee-nir-moisture/output/models/svr/mean_centering/svr_model_007.joblib,5.113079025203167,5.712741517158503,5.564980078411214,3.3349765829895865,3.751068498882612,3.9405026890751063,0.7032077114491672,1.4509824513208307,0.8607224984647645,3.4240251853464465,2.8846779195656675,3.0956780636072487,0.9147045039844278,0.8798274326686626,0.8956509689829768,10.0,0.1,auto,rbf
svr,8,/home/aline/Documentos/coffee-nir-moisture/output/models/svr/mean_centering/svr_model_008.joblib,1.9029493064389882,2.5011736391716246,1.3659023953255802,1.0576848640863126,2.0617294406297804,1.153947330817898,-0.2074737938558549,-0.4388154998743331,-0.1744737800851193,9.200093401186784,6.588674635236881,12.612458117142825,0.9881854950885707,0.9769641693624557,0.9937136215038803,100.0,0.01,scale,rbf
svr,9,/home/aline/Documentos/coffee-nir-moisture/output/models/svr/mean_centering/svr_model_009.joblib,1.9029493064389844,2.5011736391716592,1.3659023953255953,1.057684864086317,2.0617294406298248,1.1539473308179162,-0.2074737938558525,-0.4388154998743027,-0.1744737800850848,9.200093401186802,6.58867463523679,12.612458117142685,0.9881854950885707,0.976964169362455,0.9937136215038802,100.0,0.01,auto,rbf
svr,10,/home/aline/Documentos/coffee-nir-moisture/output/models/svr/mean_centering/svr_model_010.joblib,1.9042509955450952,2.5232024491561114,1.4213353686427008,1.0741875743522347,2.0782694109645563,1.1926584147838084,-0.23295935549718713,-0.40243798926223284,-0.16871315728967598,9.193804492117806,6.531152234829501,12.12056431804703,0.9881693264264533,0.9765566114133823,0.9931930224384768,100.0,0.1,scale,rbf
svr,11,/home/aline/Documentos/coffee-nir-moisture/output/models/svr/mean_centering/svr_model_011.joblib,1.9042509955450977,2.52320244915616,1.4213353686426793,1.0741875743522415,2.0782694109645856,1.1926584147838033,-0.23295935549717375,-0.40243798926226837,-0.1687131572896567,9.193804492117794,6.531152234829374,12.120564318047213,0.9881693264264533,0.9765566114133815,0.9931930224384771,100.0,0.1,auto,rbf
