algo,model_id,model_path,cv_mean_neg_mse,cv_std_neg_mse,train_rmse,test_rmse,train_mae,test_mae,train_bias,test_bias,train_rpd,test_rpd,train_r2,test_r2,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate_init,param_max_iter,param_tol,rank_by_test_rmse
mlp,38,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/snv/mlp_model_038.joblib,-89.61594368352492,136.06368122584348,1.3221677268424894,2.651964358297231,0.8759696202468558,1.6828565190592617,-0.06029748929250417,-0.843249406054615,13.482297554040636,5.874616730399956,0.9944986131572959,0.9710238337701745,relu,0.001,"(100,)",0.01,10000,0.0001,18
mlp,12,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/snv/mlp_model_012.joblib,-89.61578808529207,136.06372590150264,1.3223370350860226,2.6523045502005935,0.8761312887542416,1.6826453451951398,-0.0601400307080733,-0.841958798503161,13.480571319308416,5.873863235841086,0.9944972041230851,0.9710163992136999,relu,0.0001,"(100,)",0.01,5000,0.0001,19
mlp,14,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/snv/mlp_model_014.joblib,-89.61578808529207,136.06372590150264,1.3223370350860226,2.6523045502005935,0.8761312887542416,1.6826453451951398,-0.0601400307080733,-0.841958798503161,13.480571319308416,5.873863235841086,0.9944972041230851,0.9710163992136999,relu,0.0001,"(100,)",0.01,10000,0.0001,20
mlp,0,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/snv/mlp_model_000.joblib,-15.627817817993744,18.212612983143938,2.2612281517355326,2.6836360156321812,1.747305664390915,2.0459469645957395,-0.2387384857730221,-1.332467942641306,7.8832640996258165,5.805285849842533,0.9839088216846719,0.9703275926923718,relu,0.0001,"(50,)",0.001,5000,0.0001,21
mlp,1,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/snv/mlp_model_001.joblib,-16.174201619800645,17.921566439181067,2.2612281517355326,2.6836360156321812,1.747305664390915,2.0459469645957395,-0.2387384857730221,-1.332467942641306,7.8832640996258165,5.805285849842533,0.9839088216846719,0.9703275926923718,relu,0.0001,"(50,)",0.001,5000,0.001,22
mlp,2,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/snv/mlp_model_002.joblib,-15.627817817993744,18.212612983143938,2.2612281517355326,2.6836360156321812,1.747305664390915,2.0459469645957395,-0.2387384857730221,-1.332467942641306,7.8832640996258165,5.805285849842533,0.9839088216846719,0.9703275926923718,relu,0.0001,"(50,)",0.001,10000,0.0001,23
mlp,3,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/snv/mlp_model_003.joblib,-16.174201619800645,17.921566439181067,2.2612281517355326,2.6836360156321812,1.747305664390915,2.0459469645957395,-0.2387384857730221,-1.332467942641306,7.8832640996258165,5.805285849842533,0.9839088216846719,0.9703275926923718,relu,0.0001,"(50,)",0.001,10000,0.001,24
mlp,25,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/snv/mlp_model_025.joblib,-16.174228302525705,17.92155584468842,2.26122983331732,2.6836423080232277,1.7473058616111172,2.045951061354154,-0.23874332985482466,-1.3324739286404432,7.883258237172942,5.805272238069982,0.9839087977519763,0.9703274535448809,relu,0.001,"(50,)",0.001,5000,0.001,25
mlp,27,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/snv/mlp_model_027.joblib,-16.174228302525705,17.92155584468842,2.26122983331732,2.6836423080232277,1.7473058616111172,2.045951061354154,-0.23874332985482466,-1.3324739286404432,7.883258237172942,5.805272238069982,0.9839087977519763,0.9703274535448809,relu,0.001,"(50,)",0.001,10000,0.001,26
mlp,26,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/snv/mlp_model_026.joblib,-15.636779221549057,18.20679447185499,2.26122983331732,2.6836423080232277,1.7473058616111172,2.045951061354154,-0.23874332985482466,-1.3324739286404432,7.883258237172942,5.805272238069982,0.9839087977519763,0.9703274535448809,relu,0.001,"(50,)",0.001,10000,0.0001,27
mlp,24,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/snv/mlp_model_024.joblib,-15.636779221549057,18.20679447185499,2.26122983331732,2.6836423080232277,1.7473058616111172,2.045951061354154,-0.23874332985482466,-1.3324739286404432,7.883258237172942,5.805272238069982,0.9839087977519763,0.9703274535448809,relu,0.001,"(50,)",0.001,5000,0.0001,28
mlp,13,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/snv/mlp_model_013.joblib,-89.84863631948741,135.91685249019324,1.4957012204679865,2.770273407860462,1.0177701247061686,1.6591958410176038,-0.11203980694089716,-0.9537935239567868,11.918061218177298,5.623731630052171,0.9929597387340005,0.968380803838046,relu,0.0001,"(100,)",0.01,5000,0.001,29
mlp,15,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/snv/mlp_model_015.joblib,-89.84863631948741,135.91685249019324,1.4957012204679865,2.770273407860462,1.0177701247061686,1.6591958410176038,-0.11203980694089716,-0.9537935239567868,11.918061218177298,5.623731630052171,0.9929597387340005,0.968380803838046,relu,0.0001,"(100,)",0.01,10000,0.001,30
mlp,39,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/snv/mlp_model_039.joblib,-89.8483547446245,135.9170843950498,1.49570283344058,2.7702773949366053,1.0177682357023057,1.6591690742080891,-0.11201740989946081,-0.9537385218642243,11.91804836568703,5.623723536188985,0.9929597235494777,0.9683807128230343,relu,0.001,"(100,)",0.01,10000,0.001,31
mlp,37,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/snv/mlp_model_037.joblib,-89.8483547446245,135.9170843950498,1.49570283344058,2.7702773949366053,1.0177682357023057,1.6591690742080891,-0.11201740989946081,-0.9537385218642243,11.91804836568703,5.623723536188985,0.9929597235494777,0.9683807128230343,relu,0.001,"(100,)",0.01,5000,0.001,32
mlp,9,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/snv/mlp_model_009.joblib,-110.29284441970859,180.77525639337142,2.344575833300693,2.8403063686136845,1.8099251160440037,2.3496216174547278,-0.15939985889312525,-1.0572814560022232,7.603020749618802,5.485068216525294,0.9827007351180934,0.9667619196260935,relu,0.0001,"(100,)",0.001,5000,0.001,33
mlp,11,/home/aline/Documentos/coffee-nir-moisture/output/models/mlp/snv/mlp_model_011.joblib,-110.29284441970859,180.77525639337142,2.344575833300693,2.8403063686136845,1.8099251160440037,2.3496216174547278,-0.15939985889312525,-1.0572814560022232,7.603020749618802,5.485068216525294,0.9827007351180934,0.9667619196260935,relu,0.0001,"(100,)",0.001,10000,0.001,34
