algo,model_id,model_path,cv_mean_neg_mse,cv_std_neg_mse,train_rmse,test_rmse,train_mae,test_mae,train_bias,test_bias,train_rpd,test_rpd,train_r2,test_r2,param_C,param_epsilon,param_gamma,param_kernel,rank_by_test_rmse
svr,9,/home/aline/Documentos/coffee-nir-moisture/output/models/svr/savitzkygolay_2a_derivada/svr_model_009.joblib,-17.493030327042646,7.5935528364412255,0.010029567735295161,2.8568421288097374,0.010027189721089754,2.417036572420417,-0.00016950545145356108,-0.992472245005924,1780.1343908022375,5.5842108117989655,0.9999996844309379,0.9679316666306311,100.0,0.01,auto,rbf,1
svr,8,/home/aline/Documentos/coffee-nir-moisture/output/models/svr/savitzkygolay_2a_derivada/svr_model_008.joblib,-17.493030327042646,7.5935528364412255,0.010029567735295161,2.8568421288097374,0.010027189721089754,2.417036572420417,-0.00016950545145356108,-0.992472245005924,1780.1343908022375,5.5842108117989655,0.9999996844309379,0.9679316666306311,100.0,0.01,scale,rbf,2
svr,5,/home/aline/Documentos/coffee-nir-moisture/output/models/svr/savitzkygolay_2a_derivada/svr_model_005.joblib,-18.107306522225503,8.12907593172164,0.009924037593908306,2.8568501847201246,0.009921453722507178,2.416976473388051,-0.00016950545278239643,-0.9925274471947105,1799.063967818781,5.58419506512029,0.9999996910367754,0.9679314857736062,10.0,0.01,auto,rbf,3
svr,4,/home/aline/Documentos/coffee-nir-moisture/output/models/svr/savitzkygolay_2a_derivada/svr_model_004.joblib,-18.107306522225503,8.12907593172164,0.009924037593908306,2.8568501847201246,0.009921453722507178,2.416976473388051,-0.00016950545278239643,-0.9925274471947105,1799.063967818781,5.58419506512029,0.9999996910367754,0.9679314857736062,10.0,0.01,scale,rbf,4
svr,11,/home/aline/Documentos/coffee-nir-moisture/output/models/svr/savitzkygolay_2a_derivada/svr_model_011.joblib,-17.84942948368604,7.675483234093747,0.0999340760315488,2.901786682999349,0.099933858669463,2.472551603299262,-0.0016949290219317016,-0.9989680663020614,178.65756266003797,5.497719317814406,0.9999686702311734,0.9669147155334118,100.0,0.1,auto,rbf,5
svr,10,/home/aline/Documentos/coffee-nir-moisture/output/models/svr/savitzkygolay_2a_derivada/svr_model_010.joblib,-17.84942948368604,7.675483234093747,0.0999340760315488,2.901786682999349,0.099933858669463,2.472551603299262,-0.0016949290219317016,-0.9989680663020614,178.65756266003797,5.497719317814406,0.9999686702311734,0.9669147155334118,100.0,0.1,scale,rbf,6
svr,7,/home/aline/Documentos/coffee-nir-moisture/output/models/svr/savitzkygolay_2a_derivada/svr_model_007.joblib,-18.436077600617462,8.184113655931492,0.10001135554899776,2.9018954028063986,0.10001111786442468,2.4726409285988344,-0.001694929024127339,-0.9990317559841296,178.51951263406656,5.497513345199794,0.9999686217575064,0.9669122363069763,10.0,0.1,auto,rbf,7
svr,6,/home/aline/Documentos/coffee-nir-moisture/output/models/svr/savitzkygolay_2a_derivada/svr_model_006.joblib,-18.436077600617462,8.184113655931492,0.10001135554899776,2.9018954028063986,0.10001111786442468,2.4726409285988344,-0.001694929024127339,-0.9990317559841296,178.51951263406656,5.497513345199794,0.9999686217575064,0.9669122363069763,10.0,0.1,scale,rbf,8
svr,0,/home/aline/Documentos/coffee-nir-moisture/output/models/svr/savitzkygolay_2a_derivada/svr_model_000.joblib,-243.82786406706546,50.83708335347047,13.51121752981081,13.100297493491167,10.708328130743984,10.370639820959909,5.581668715445285,5.187385693759611,1.3214189181017075,1.2177745361300687,0.42731084389262597,0.3256797175902265,1.0,0.01,scale,rbf,9
svr,1,/home/aline/Documentos/coffee-nir-moisture/output/models/svr/savitzkygolay_2a_derivada/svr_model_001.joblib,-243.82786406706546,50.83708335347047,13.51121752981081,13.100297493491167,10.708328130743984,10.370639820959909,5.581668715445285,5.187385693759611,1.3214189181017075,1.2177745361300687,0.42731084389262597,0.3256797175902265,1.0,0.01,auto,rbf,10
svr,2,/home/aline/Documentos/coffee-nir-moisture/output/models/svr/savitzkygolay_2a_derivada/svr_model_002.joblib,-243.83026115595467,50.74610253728893,13.548645670569703,13.136195181362362,10.7098535544728,10.383496963817052,5.671668715445287,5.277385693759614,1.317768497648569,1.214446685897034,0.42413357596911216,0.3219790833645122,1.0,0.1,scale,rbf,11
svr,3,/home/aline/Documentos/coffee-nir-moisture/output/models/svr/savitzkygolay_2a_derivada/svr_model_003.joblib,-243.83026115595467,50.74610253728893,13.548645670569703,13.136195181362362,10.7098535544728,10.383496963817052,5.671668715445287,5.277385693759614,1.317768497648569,1.214446685897034,0.42413357596911216,0.3219790833645122,1.0,0.1,auto,rbf,12
