algo,model_id,model_path,train_rmse,test_rmse,val_rmse,train_mae,test_mae,val_mae,train_bias,test_bias,val_bias,train_rpd,test_rpd,val_rpd,train_r2,test_r2,val_r2,param_C,param_epsilon,param_gamma,param_kernel
svr,0,/home/aline/Documentos/coffee-nir-moisture/output/models/svr/msc/svr_model_000.joblib,6.2690717550538615,8.264137210593859,8.159606547273176,4.666681352471538,7.032829884313293,6.6368682203144305,2.189412446995378,2.42832864065261,3.0053412206417,2.8040489206433503,2.056864758324563,2.08896892082017,0.8728170695312639,0.7636320842704071,0.770841462129388,1.0,0.01,scale,rbf
svr,1,/home/aline/Documentos/coffee-nir-moisture/output/models/svr/msc/svr_model_001.joblib,6.269071755053861,8.264137210593859,8.159606547273178,4.666681352471538,7.032829884313293,6.6368682203144305,2.1894124469953784,2.42832864065261,3.005341220641701,2.8040489206433508,2.056864758324563,2.0889689208201694,0.8728170695312639,0.7636320842704071,0.770841462129388,1.0,0.01,auto,rbf
svr,2,/home/aline/Documentos/coffee-nir-moisture/output/models/svr/msc/svr_model_002.joblib,6.2405539406565795,8.24645217696645,8.13238949024517,4.6477391424018615,7.033944044832128,6.637785560105207,2.1508647257400373,2.3776590967484834,2.9541996264366293,2.816862742531635,2.0612758337346166,2.095960173061088,0.873971540189324,0.7646426439212441,0.7723676678115775,1.0,0.1,scale,rbf
svr,3,/home/aline/Documentos/coffee-nir-moisture/output/models/svr/msc/svr_model_003.joblib,6.2405539406565795,8.24645217696645,8.132389490245169,4.6477391424018615,7.03394404483213,6.637785560105206,2.150864725740038,2.377659096748482,2.9541996264366293,2.816862742531635,2.0612758337346166,2.0959601730610884,0.873971540189324,0.7646426439212441,0.7723676678115776,1.0,0.1,auto,rbf
svr,4,/home/aline/Documentos/coffee-nir-moisture/output/models/svr/msc/svr_model_004.joblib,1.0062532179538182,1.3137512475228033,1.4566186116737037,0.6280047386212647,1.0804404179145304,1.4114439663075518,0.08161188264163532,-0.14059759241654288,0.20050190332929393,17.469543028086264,12.938684258896677,11.701871956578238,0.9967232982697717,0.9940266251363746,0.9926972015179883,10.0,0.01,scale,rbf
svr,5,/home/aline/Documentos/coffee-nir-moisture/output/models/svr/msc/svr_model_005.joblib,1.0062532179538175,1.3137512475228064,1.456618611673703,0.6280047386212619,1.0804404179145324,1.4114439663075513,0.08161188264163484,-0.14059759241654696,0.2005019033292914,17.469543028086278,12.938684258896645,11.701871956578243,0.9967232982697718,0.9940266251363746,0.9926972015179883,10.0,0.01,auto,rbf
svr,6,/home/aline/Documentos/coffee-nir-moisture/output/models/svr/msc/svr_model_006.joblib,0.9806632481380697,1.2946150781050814,1.434474897703656,0.6351096021242754,1.0702880507724142,1.388684107325232,0.07481406318738873,-0.18364958635642228,0.14499526572680083,17.92540295720304,13.129935587734174,11.882511510421528,0.9968878383590121,0.9941993747478237,0.9929175500739849,10.0,0.1,scale,rbf
svr,7,/home/aline/Documentos/coffee-nir-moisture/output/models/svr/msc/svr_model_007.joblib,0.9806632481380697,1.294615078105078,1.4344748977036514,0.6351096021242749,1.0702880507724113,1.3886841073252278,0.07481406318738752,-0.1836495863564233,0.1449952657267988,17.92540295720304,13.129935587734208,11.882511510421567,0.9968878383590121,0.9941993747478237,0.9929175500739849,10.0,0.1,auto,rbf
svr,8,/home/aline/Documentos/coffee-nir-moisture/output/models/svr/msc/svr_model_008.joblib,0.5394360263103836,0.5963579464398908,1.4878402221009284,0.21769327699514185,0.4981950527677874,1.0223610816898165,-0.07690595672857133,-0.4356159248169987,-0.145204659379433,32.58733757259275,28.503372325135068,11.456313809896566,0.9990583223974581,0.998769143259339,0.9923807855483587,100.0,0.01,scale,rbf
svr,9,/home/aline/Documentos/coffee-nir-moisture/output/models/svr/msc/svr_model_009.joblib,0.5394360263103903,0.5963579464398666,1.4878402221009281,0.21769327699514693,0.4981950527677666,1.022361081689812,-0.07690595672857614,-0.43561592481698697,-0.14520465937944468,32.58733757259234,28.503372325136226,11.456313809896567,0.9990583223974581,0.9987691432593391,0.9923807855483587,100.0,0.01,auto,rbf
svr,10,/home/aline/Documentos/coffee-nir-moisture/output/models/svr/msc/svr_model_010.joblib,0.5327336035787386,0.6402237933763566,1.4612634793044341,0.2580611257362651,0.5631501587632505,1.0346704339327772,-0.06652199422000878,-0.44124073247857254,-0.11683756343293515,32.99732506097925,26.55042309000337,11.664675621324628,0.9990815774681082,0.9985814093018891,0.9926505529101333,100.0,0.1,scale,rbf
svr,11,/home/aline/Documentos/coffee-nir-moisture/output/models/svr/msc/svr_model_011.joblib,0.5327336035787369,0.6402237933763735,1.461263479304433,0.25806112573627255,0.5631501587632606,1.0346704339327766,-0.06652199422001287,-0.44124073247857865,-0.11683756343294073,32.99732506097935,26.55042309000267,11.664675621324637,0.9990815774681082,0.998581409301889,0.9926505529101333,100.0,0.1,auto,rbf
