algo,model_id,model_path,train_rmse,test_rmse,val_rmse,train_mae,test_mae,val_mae,train_bias,test_bias,val_bias,train_rpd,test_rpd,val_rpd,train_r2,test_r2,val_r2,param_C,param_epsilon,param_gamma,param_kernel
svr,0,/home/aline/Documentos/coffee-nir-moisture/output/models/svr/snv/svr_model_000.joblib,6.3307384793590895,8.533850929998751,8.379732877792781,4.706138008246357,7.282452152568818,6.818797024659719,2.3032015522903784,2.680238310889743,3.244424144909319,2.7767351226888985,1.9918572196610485,2.0340940137299612,0.8703026529621084,0.7479518049184275,0.758310403524444,1.0,0.01,scale,rbf
svr,1,/home/aline/Documentos/coffee-nir-moisture/output/models/svr/snv/svr_model_001.joblib,6.33073847935909,8.53385092999875,8.379732877792781,4.7061380082463575,7.282452152568818,6.818797024659719,2.3032015522903784,2.680238310889742,3.244424144909319,2.7767351226888985,1.991857219661049,2.0340940137299612,0.8703026529621084,0.7479518049184277,0.758310403524444,1.0,0.01,auto,rbf
svr,2,/home/aline/Documentos/coffee-nir-moisture/output/models/svr/snv/svr_model_002.joblib,6.317064666132202,8.528799742608607,8.370216634248969,4.685216354927036,7.283955656743488,6.81969486170509,2.2970374619563865,2.657323015961825,3.2208830103439436,2.7827455974038005,1.9930368984405438,2.0364066102697524,0.8708623165946577,0.7482500913282786,0.7588590298681653,1.0,0.1,scale,rbf
svr,3,/home/aline/Documentos/coffee-nir-moisture/output/models/svr/snv/svr_model_003.joblib,6.317064666132202,8.528799742608607,8.370216634248969,4.685216354927037,7.283955656743488,6.8196948617050905,2.2970374619563865,2.657323015961825,3.2208830103439428,2.7827455974038005,1.9930368984405438,2.0364066102697524,0.8708623165946577,0.7482500913282786,0.7588590298681652,1.0,0.1,auto,rbf
svr,4,/home/aline/Documentos/coffee-nir-moisture/output/models/svr/snv/svr_model_004.joblib,1.0083268662296792,1.50869489172971,1.6815612097557426,0.6348990393104225,1.3206674963781084,1.6179633109702956,0.08650015522474976,0.047441618439656504,0.3088155693502233,17.43361649573498,11.266832465337515,10.13651146594322,0.9967097793504199,0.99212235642975,0.9902675323671212,10.0,0.01,scale,rbf
svr,5,/home/aline/Documentos/coffee-nir-moisture/output/models/svr/snv/svr_model_005.joblib,1.0083268662296798,1.5086948917297096,1.6815612097557442,0.6348990393104228,1.3206674963781093,1.6179633109702969,0.08650015522474946,0.04744161843965549,0.30881556935022886,17.43361649573497,11.266832465337519,10.136511465943212,0.9967097793504199,0.99212235642975,0.9902675323671211,10.0,0.01,auto,rbf
svr,6,/home/aline/Documentos/coffee-nir-moisture/output/models/svr/snv/svr_model_006.joblib,1.0049094621094503,1.5061394389066398,1.6402000453923273,0.649767952621882,1.2988064717482781,1.5514035023237955,0.07642368960018346,0.021591852751875758,0.2851642726817319,17.492903143029505,11.285948795530361,10.392125357670823,0.9967320438758853,0.9921490203994404,0.9907404208951199,10.0,0.1,scale,rbf
svr,7,/home/aline/Documentos/coffee-nir-moisture/output/models/svr/snv/svr_model_007.joblib,1.0049094621094503,1.5061394389066396,1.6402000453923284,0.6497679526218826,1.298806471748277,1.551403502323797,0.07642368960018328,0.021591852751874745,0.28516427268173344,17.492903143029505,11.285948795530363,10.392125357670816,0.9967320438758853,0.9921490203994404,0.9907404208951199,10.0,0.1,auto,rbf
svr,8,/home/aline/Documentos/coffee-nir-moisture/output/models/svr/snv/svr_model_008.joblib,0.520700921571215,0.6179829731312945,1.5073650998892738,0.19607334400115045,0.49518497855285254,1.0498753562207148,-0.0830400812251274,-0.37292050118726855,-0.1132794039354825,33.75984785114364,27.505956192126,11.307920346985957,0.9991225971542759,0.9986782585612134,0.9921795000301734,100.0,0.01,scale,rbf
svr,9,/home/aline/Documentos/coffee-nir-moisture/output/models/svr/snv/svr_model_009.joblib,0.5207009215712174,0.6179829731313127,1.5073650998892802,0.19607334400115256,0.4951849785528698,1.0498753562207106,-0.08304008122512313,-0.3729205011872817,-0.11327940393550685,33.75984785114348,27.50595619212519,11.30792034698591,0.9991225971542759,0.9986782585612134,0.9921795000301733,100.0,0.01,auto,rbf
svr,10,/home/aline/Documentos/coffee-nir-moisture/output/models/svr/snv/svr_model_010.joblib,0.5098155293107555,0.6669561671264169,1.4822071170028563,0.24076726374718221,0.5461089724781171,1.0683952687850289,-0.06565387802674312,-0.39534794271868634,-0.08292905162412037,34.48067561213781,25.48625145737242,11.499853352371666,0.9991588983858016,0.9984604702963907,0.9924383704769512,100.0,0.1,scale,rbf
svr,11,/home/aline/Documentos/coffee-nir-moisture/output/models/svr/snv/svr_model_011.joblib,0.5098155293107532,0.6669561671264019,1.4822071170028854,0.24076726374717222,0.5461089724781024,1.0683952687850213,-0.06565387802674721,-0.3953479427186747,-0.08292905162413813,34.48067561213796,25.48625145737299,11.49985335237144,0.9991588983858016,0.9984604702963907,0.9924383704769508,100.0,0.1,auto,rbf
