algo,model_id,model_path,cv_mean_neg_mse,cv_std_neg_mse,train_rmse,test_rmse,train_mae,test_mae,train_bias,test_bias,train_rpd,test_rpd,train_r2,test_r2,param_n_components,param_scale,rank_by_test_rmse
pls,6,/home/aline/Documentos/coffee-nir-moisture/output/models/pls/area_normalization/pls_model_006.joblib,-1.9116316635840231e-22,1.4846494157970736e-22,4.1692085665305475e-12,5.931405015616687e-12,3.3137786300296467e-12,5.173512412121844e-12,2.830127845824128e-15,2.042810365310288e-13,4282342359604.4297,2689617158379.709,1.0,1.0,12,False,1
pls,4,/home/aline/Documentos/coffee-nir-moisture/output/models/pls/area_normalization/pls_model_004.joblib,-3.946907653826206e-21,1.5589313722201662e-21,4.7824153115145366e-11,4.4229434121171596e-11,3.9034327559328e-11,3.607171704191257e-11,-4.937669858671883e-15,-1.788537572013281e-11,373325553878.44965,360692127771.66595,1.0,1.0,8,False,2
pls,2,/home/aline/Documentos/coffee-nir-moisture/output/models/pls/area_normalization/pls_model_002.joblib,-9.501236917733477e-19,4.570508536627777e-19,8.976497462552454e-10,7.8084613123378e-10,7.331283000640123e-10,5.985799792337535e-10,2.3484039571732125e-15,-2.696651790756732e-10,19889693641.602917,20430668815.756516,1.0,1.0,4,False,3
pls,0,/home/aline/Documentos/coffee-nir-moisture/output/models/pls/area_normalization/pls_model_000.joblib,-2.1651848200721832e-13,5.100124703179596e-14,4.4691898735805916e-07,5.011599307623229e-07,3.852444369990003e-07,4.2715183872538933e-07,7.225858329763731e-16,-2.1792243387608323e-07,39949026.45784283,31832570.25164684,0.9999999999999993,0.999999999999999,2,False,4
pls,7,/home/aline/Documentos/coffee-nir-moisture/output/models/pls/area_normalization/pls_model_007.joblib,-0.37359742664459733,0.3317038663431496,0.23358144599976935,0.3251801616591346,0.1996100628327716,0.2632532147466579,1.0838787494645596e-14,-0.04008662549875349,76.43577328696328,49.05960013644629,0.9998288382678919,0.999584518212181,12,True,5
pls,5,/home/aline/Documentos/coffee-nir-moisture/output/models/pls/area_normalization/pls_model_005.joblib,-1.480679057014339,0.4564466059247645,0.905298062679374,1.2331478083889666,0.7059387703876033,0.9656325585297688,-2.6494813875800346e-15,-0.5249516155561638,19.721657635760018,12.936980137153238,0.9974289343301708,0.9940250513489349,8,True,6
pls,3,/home/aline/Documentos/coffee-nir-moisture/output/models/pls/area_normalization/pls_model_003.joblib,-4.0015454387938805,0.6155418776534883,1.7181596216890744,1.4433441958989643,1.4121963575065453,1.2102457322852764,-1.2344174646679707e-14,-0.3857785478749451,10.391338630649278,11.052948249371594,0.9907390187587614,0.9918145280097389,4,True,7
pls,1,/home/aline/Documentos/coffee-nir-moisture/output/models/pls/area_normalization/pls_model_001.joblib,-40.15477504735873,26.74101656200084,5.96209229526873,6.073392412647124,4.378784411700885,4.348999623891038,-2.6795891306207168e-15,-1.8549052545465032,2.994582701218431,2.6267376812473753,0.8884865179441557,0.8550672303526097,2,True,8
