algo,model_id,model_path,cv_mean_neg_mse,cv_std_neg_mse,train_rmse,test_rmse,train_mae,test_mae,train_bias,test_bias,train_rpd,test_rpd,train_r2,test_r2,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,rank_by_test_rmse
random_forest,50,/home/aline/Documentos/coffee-nir-moisture/output/models/random_forest/area_normalization/random_forest_model_050.joblib,-19.71797236678751,19.87839072046968,0.10012868538342132,2.0208489488431414,0.04321141271693153,1.210247608657425,-5.660255691648256e-15,0.08195561749451638,178.31032517915767,7.894310315689211,0.9999685480906005,0.9839538217589386,False,,sqrt,1,5,100,49
random_forest,66,/home/aline/Documentos/coffee-nir-moisture/output/models/random_forest/area_normalization/random_forest_model_066.joblib,-19.71797236678751,19.87839072046968,0.10012868538342132,2.0208489488431414,0.04321141271693153,1.210247608657425,-5.660255691648256e-15,0.08195561749451638,178.31032517915767,7.894310315689211,0.9999685480906005,0.9839538217589386,False,10.0,sqrt,1,5,100,50
random_forest,82,/home/aline/Documentos/coffee-nir-moisture/output/models/random_forest/area_normalization/random_forest_model_082.joblib,-19.71797236678751,19.87839072046968,0.10012868538342132,2.0208489488431414,0.04321141271693153,1.210247608657425,-5.660255691648256e-15,0.08195561749451638,178.31032517915767,7.894310315689211,0.9999685480906005,0.9839538217589386,False,20.0,sqrt,1,5,100,51
random_forest,32,/home/aline/Documentos/coffee-nir-moisture/output/models/random_forest/area_normalization/random_forest_model_032.joblib,-8.884039860985576,8.113574176436588,0.8125856423288379,2.0278734703143586,0.45323147615880216,1.4415027238177165,0.05645699246301058,-0.6617563739225628,21.971811364166662,7.866964550223669,0.997928579469242,0.9838420740434801,True,20.0,sqrt,1,2,100,52
random_forest,0,/home/aline/Documentos/coffee-nir-moisture/output/models/random_forest/area_normalization/random_forest_model_000.joblib,-8.884039860985576,8.113574176436588,0.8125856423288379,2.0278734703143586,0.45323147615880216,1.4415027238177165,0.05645699246301058,-0.6617563739225628,21.971811364166662,7.866964550223669,0.997928579469242,0.9838420740434801,True,,sqrt,1,2,100,53
random_forest,24,/home/aline/Documentos/coffee-nir-moisture/output/models/random_forest/area_normalization/random_forest_model_024.joblib,-10.41392403091012,10.473803115346454,0.8569726986028567,2.0356176936179216,0.4631267720772804,1.4129630358775276,-0.003835458674691534,-0.827441882098239,20.833777411564217,7.837035781973543,0.9976960982198589,0.9837184277524628,True,10.0,log2,1,2,100,54
random_forest,8,/home/aline/Documentos/coffee-nir-moisture/output/models/random_forest/area_normalization/random_forest_model_008.joblib,-10.421235016264628,10.46886624508443,0.856972594608937,2.037606901508919,0.4631239839707371,1.4129525614909977,-0.0038363880435392968,-0.8182480218582885,20.833779939750286,7.8293848982785645,0.9976960987790174,0.9836865914635451,True,,log2,1,2,100,55
random_forest,40,/home/aline/Documentos/coffee-nir-moisture/output/models/random_forest/area_normalization/random_forest_model_040.joblib,-10.421235016264628,10.46886624508443,0.856972594608937,2.037606901508919,0.4631239839707371,1.4129525614909977,-0.0038363880435392968,-0.8182480218582885,20.833779939750286,7.8293848982785645,0.9976960987790174,0.9836865914635451,True,20.0,log2,1,2,100,56
random_forest,16,/home/aline/Documentos/coffee-nir-moisture/output/models/random_forest/area_normalization/random_forest_model_016.joblib,-8.881877495739937,8.115480703971809,0.8193963461736455,2.0449413565360657,0.4555917848412314,1.4498207139554178,0.05486884329937133,-0.669074364060264,21.789184847909773,7.801303764683654,0.9978937106416843,0.9835689384424527,True,10.0,sqrt,1,2,100,57
random_forest,49,/home/aline/Documentos/coffee-nir-moisture/output/models/random_forest/area_normalization/random_forest_model_049.joblib,-21.70057803369077,21.60979070428788,1.8565050077898364e-13,2.0559197615819778,1.4210854715202004e-13,1.1716917994376785,-6.473164753746676e-14,0.14901841444920447,96169837277921.14,7.759645586083828,1.0,0.9833920423588622,False,,sqrt,1,2,300,58
random_forest,81,/home/aline/Documentos/coffee-nir-moisture/output/models/random_forest/area_normalization/random_forest_model_081.joblib,-21.70057803369077,21.60979070428788,1.8565050077898364e-13,2.0559197615819778,1.4210854715202004e-13,1.1716917994376785,-6.473164753746676e-14,0.14901841444920447,96169837277921.14,7.759645586083828,1.0,0.9833920423588622,False,20.0,sqrt,1,2,300,59
random_forest,10,/home/aline/Documentos/coffee-nir-moisture/output/models/random_forest/area_normalization/random_forest_model_010.joblib,-9.655643184993721,9.435944962910927,0.9176806287993757,2.0560488577144094,0.5873432982467077,1.4636899264518328,0.032763458813317096,-0.8184836306146831,19.455546832058808,7.7591583699214075,0.9973581198232574,0.9833899565863985,True,,log2,1,5,100,60
random_forest,42,/home/aline/Documentos/coffee-nir-moisture/output/models/random_forest/area_normalization/random_forest_model_042.joblib,-9.655643184993721,9.435944962910927,0.9176806287993757,2.0560488577144094,0.5873432982467077,1.4636899264518328,0.032763458813317096,-0.8184836306146831,19.455546832058808,7.7591583699214075,0.9973581198232574,0.9833899565863985,True,20.0,log2,1,5,100,61
random_forest,65,/home/aline/Documentos/coffee-nir-moisture/output/models/random_forest/area_normalization/random_forest_model_065.joblib,-21.70155330193853,21.60892467319752,1.8565050077898364e-13,2.0571528454672157,1.4210854715202004e-13,1.171561717831614,-6.473164753746676e-14,0.14914849605526914,96169837277921.14,7.754994354675116,1.0,0.9833721143960229,False,10.0,sqrt,1,2,300,62
random_forest,80,/home/aline/Documentos/coffee-nir-moisture/output/models/random_forest/area_normalization/random_forest_model_080.joblib,-20.563808074262138,20.846405284860797,4.822851651620332e-14,2.0600054052903616,3.525616710063887e-14,1.2080799354689786,-7.6172589892926e-15,0.08237098386246076,370195472309023.44,7.744255749199587,1.0,0.9833259681658658,False,20.0,sqrt,1,2,100,63
random_forest,48,/home/aline/Documentos/coffee-nir-moisture/output/models/random_forest/area_normalization/random_forest_model_048.joblib,-20.563808074262138,20.846405284860797,4.822851651620332e-14,2.0600054052903616,3.525616710063887e-14,1.2080799354689786,-7.6172589892926e-15,0.08237098386246076,370195472309023.44,7.744255749199587,1.0,0.9833259681658658,False,,sqrt,1,2,100,64
